Categoria,Nombre,Descripcion,URL,Gratis,API Key
Lobbying y politica,Congress.gov API,Legislacion comites testimonios empresas que testifican ante el Congreso,api.congress.gov,Si,Si
Lobbying y politica,Florida Lobbying Disclosures,Lobbyistas y clientes registrados en Florida empresa tema monto,floridalobbyist.gov,Si,No
Lobbying y politica,ProPublica Congress API,Votaciones miembros comites quien financia a cada congresista,propublica.org/datastore/api/propublica-congress-api,Si,Si
Utilities y servicios publicos,EIA Utility Data,Empresas de electricidad nombre estado clientes generacion tarifas,api.eia.gov,Si,Si
Utilities y servicios publicos,FCC Broadband Map API,Proveedores de internet por direccion empresa velocidad tecnologia,broadbandmap.fcc.gov/api,Si,No
Utilities y servicios publicos,PHMSA Pipeline Operators,Operadores de gasoductos y oleoductos empresa millas tipo de gas,phmsa.dot.gov/data-and-statistics/pipeline,Si,No
Utilities y servicios publicos,FERC Electric Utilities,Utilities electricas reguladas empresa tarifas area de servicio,ferc.gov/industries-data/electric,Si,No
Utilities y servicios publicos,Water Utility Data ECHO,Sistemas de agua potable empresa operadora usuarios violaciones,echo.epa.gov/tools/web-services,Si,No
Utilities y servicios publicos,NARUC Utility Directory,Directorio de todas las utilities reguladas por estado,naruc.org/compilation-of-utility-regulatory-annual-reports,Si,No
Veteranos y militar,VA Veteran-Owned Business,Empresas certificadas como veteran-owned nombre NAICS contacto,vetbiz.va.gov/vip,Si,No
Veteranos y militar,SBA VOSB/SDVOSB API,Service-disabled veteran businesses certificadas para contratos,veterans.certify.sba.gov,Si,No
Veteranos y militar,DOD Transition Assistance,Veteranos en transicion al sector privado programas por base militar,dodtap.mil,Si,No
Veteranos y militar,Military Base Directory,Bases militares activas comando unidades contratistas residentes,militaryinstallations.dod.mil,Si,No
Veteranos y militar,USAJobs Veterans Preference,Vacantes federales con preferencia de veteranos agencia cargo salario,usajobs.gov/Search/Results,Si,No
Internacional en EE.UU.,ITAR Registration DDTC,Empresas registradas para exportar defensa nombre pais producto,pmddtc.state.gov/ddtc_public,Si,No
Internacional en EE.UU.,FDI Markets Database,Inversion extranjera directa en EE.UU. empresa pais de origen sector,fdimarkets.com,No,Si
Internacional en EE.UU.,BEA Foreign Direct Investment,Estadisticas de IED en EE.UU. por pais de origen e industria,bea.gov/data/intl-trade-investment/foreign-direct-investment-us,Si,No
Internacional en EE.UU.,USTR Trade Agreements,Empresas que participan en comentarios de tratados comerciales,regulations.gov/search,Si,No
Internacional en EE.UU.,OFAC Foreign Sanctions,Empresas extranjeras sancionadas con operaciones en EE.UU.,sanctions.ofac.treas.gov,Si,No
Internacional en EE.UU.,CBP Trusted Trader CTPAT,Importadores certificados como socios confiables de aduanas,cbp.gov/border-security/ports-entry/cargo-security/ctpat,Si,No
Crowdfunding e inversion,SEC Regulation CF Filings,Empresas que hacen crowdfunding de equity fundadores monto sector,efts.sec.gov/LATEST/search-index,Si,No
Crowdfunding e inversion,Kickstarter API,Proyectos de crowdfunding creador monto recaudado categoria backers,kickstarter.com/help/api,Si,Si
Crowdfunding e inversion,Indiegogo Campaign Data,Campanas activas y completadas empresa fundador monto categoria,developer.indiegogo.com,Si,Si
Crowdfunding e inversion,AngelList / Wellfound API,Startups buscando inversion fundador sector ubicacion funding stage,wellfound.com/api,Si,Si
Crowdfunding e inversion,Republic Funding Data,Empresas con rondas de equity crowdfunding activas o pasadas,republic.com/companies,Si,No
